There are 1 devices!
The device 'mlx4_0' max mr size is 18446744073709551615 bytes.
The device 'mlx4_0' max_qp_wr is 16351.
The device 'mlx4_0' phys_port_cnt is 2.
The device 'mlx4_0' active_speed is 10.0 Gbps.
The device 'mlx4_0' max_mtu is IBV_MTU_4096.
The device 'mlx4_0' active_mtu is IBV_MTU_1024.
The device 'mlx4_0' link_layer is IBV_LINK_LAYER_ETHERNET.
Thread:	Id:	Size(MByte):	Time(ms):	Speed(Mbits/s):
4	1	2	        9.940000	3219.316162
4	2	3	        16.593000	2892.786133
4	3	4	        22.104000	2895.403564
4	4	5	        29.305000	2729.909668
4	5	6	        37.060001	2590.394043
1	39	40	        202.496002	3160.556152
4	6	7	        36.869999	3037.700195
3	20	21	        158.587997	2118.697510
2	30	31	        208.261993	2381.615479
4	7	8	        35.807999	3574.620605
0	51	52	        225.656006	3687.028076
4	8	9	        46.353001	3106.594971
3	21	22	        90.444000	3891.911133
4	9	10	        53.703999	2979.293945
1	40	41	        159.919998	4102.051270
2	31	32	        152.313004	3361.498779
4	10	11	        58.463001	3010.451172
3	22	23	        105.249001	3496.470215
4	11	12	        71.824997	2673.164062
0	52	53	        238.794006	3551.177979
4	12	13	        81.234001	2560.504150
3	23	24	        176.440002	2176.377197
4	13	14	        73.803001	3035.106934
2	32	33	        239.727005	2202.505371
1	41	42	        290.045990	2316.874023
3	24	25	        95.400002	4192.872070
4	14	15	        65.349998	3672.532715
0	53	54	        200.923004	4300.154785
2	33	34	        105.411003	5160.751465
4	15	16	        74.280998	3446.372559
3	25	26	        147.979004	2811.209473
4	16	17	        95.108002	2859.906494
1	42	43	        215.542007	3191.953369
2	34	35	        192.425003	2910.224854
4	17	18	        107.412003	2681.264648
3	26	27	        155.731003	2774.013916
0	54	55	        327.397003	2687.868408
4	18	19	        91.681000	3315.845215
2	35	36	        164.679001	3497.713623
1	43	44	        225.733994	3118.715088
3	27	28	        107.757004	4157.502441
4	19	20	        64.102997	4991.966309
0	55	56	        151.414993	5917.511719
4	20	21	        130.556000	2573.608154
3	28	29	        188.399002	2462.858154
2	36	37	        242.464005	2441.599609
1	44	45	        295.078003	2440.032715
4	21	22	        130.910004	2688.870117
3	29	30	        142.875000	3359.580078
2	37	38	        149.190002	4075.339844
0	56	57	        305.171997	2988.478760
4	22	23	        112.112999	3282.402588
3	30	31	        117.261002	4229.880371
1	45	46	        170.393005	4319.426270
4	23	24	        114.797997	3345.006104
2	38	39	        150.572006	4144.196777
3	31	32	        155.660995	3289.198975
4	24	25	        163.964996	2439.544922
0	57	58	        361.627014	2566.179932
3	32	33	        191.755005	2753.513428
1	46	47	        336.942993	2231.831543
2	39	40	        266.773010	2399.043213
4	25	26	        122.456001	3397.138672
0	58	59	        164.011993	5755.676270
4	26	27	        155.962997	2769.887695
3	33	34	        207.774002	2618.229492
2	40	41	        256.549011	2557.016357
1	47	48	        306.993988	2501.677734
4	27	28	        150.725006	2972.300293
3	34	35	        170.231003	3289.647705
2	41	42	        182.089996	3690.482666
0	59	60	        337.372009	2845.523682
4	28	29	        160.462006	2891.650146
3	35	36	        133.522003	4313.895508
1	48	49	        207.190994	3783.948242
2	42	43	        130.098007	5288.321289
4	29	30	        130.057999	3690.660889
3	36	37	        218.744995	2706.347656
4	30	31	        240.580002	2061.684082
0	60	61	        428.596985	2277.197510
2	43	44	        324.604004	2168.796387
1	49	50	        391.144012	2045.282471
3	37	38	        184.175995	3301.190186
4	31	32	        86.620003	5910.875000
4	32	33	        278.316010	1897.124023
3	38	39	        336.105011	1856.562622
2	44	45	        372.665985	1932.025024
1	50	51	        396.994995	2055.441406
0	61	62	        440.751007	2250.703857
4	33	34	        130.259995	4176.263184
3	39	40	        112.361000	5695.926758
2	45	46	        146.828995	5012.633789
4	34	35	        237.110992	2361.763184
1	51	52	        316.167999	2631.512207
3	40	41	        304.778992	2152.379395
2	46	47	        311.856995	2411.361816
4	35	36	        171.496002	3358.678955
0	62	63	        443.743011	2271.584961
3	41	42	        148.951996	4511.520508
1	52	53	        197.319000	4297.609375
2	47	48	        147.192993	5217.639648
4	36	37	        147.585999	4011.220459
3	42	43	        240.212006	2864.136475
4	37	38	        298.205994	2038.859009
1	53	54	        416.119995	2076.324219
0	63	64	        466.006012	2197.396484
2	48	49	        361.809998	2166.883057
3	43	44	        203.371994	3461.636963
4	38	39	        88.772003	7029.243164
1	54	55	        308.273987	2854.603271
4	39	40	        267.101990	2396.088379
3	44	45	        297.997986	2416.123779
2	49	50	        316.532013	2527.390381
4	40	41	        247.552002	2649.948242
3	45	46	        311.484009	2362.882080
1	55	56	        343.743988	2606.591064
2	50	51	        328.832001	2481.510254
4	41	42	        112.602997	5967.869629
3	46	47	        158.651001	4739.963867
4	42	43	        281.260010	2446.135010
2	51	52	        331.670013	2508.517334
1	56	57	        350.059998	2605.267822
3	47	48	        210.063995	3656.028809
4	43	44	        106.419998	6615.298340
2	52	53	        289.507996	2929.107422
3	48	49	        310.125000	2528.012939
4	44	45	        261.652008	2751.746338
1	57	58	        334.678009	2772.814453
2	53	54	        111.621002	7740.479004
3	49	50	        278.322998	2874.358154
4	45	46	        277.487000	2652.376465
1	58	59	        321.983002	2931.831787
2	54	55	        272.950012	3224.033447
3	50	51	        169.003006	4828.316406
4	46	47	        177.292007	4241.589844
2	55	56	        253.811005	3530.185791
1	59	60	        295.864014	3244.733887
4	47	48	        228.682007	3358.375244
3	51	52	        253.738007	3278.972656
2	56	57	        155.332001	5871.294922
1	60	61	        155.766998	6265.769043
4	48	49	        195.261002	4015.138672
3	52	53	        235.567993	3599.810059
2	57	58	        265.871002	3490.414795
1	61	62	        291.304993	3405.365479
4	49	50	        228.882004	3495.250732
3	53	54	        210.731995	4099.994141
2	58	59	        154.080002	6126.687500
1	62	63	        153.003998	6588.063477
4	50	51	        178.658997	4567.360352
3	54	55	        219.423996	4010.500244
2	59	60	        239.018005	4016.433838
1	63	64	        279.976990	3657.443359
4	51	52	        249.136002	3339.541504
3	55	56	        255.639999	3504.928711
2	60	61	        232.653000	4195.088867
4	52	53	        125.995003	6730.425293
3	56	57	        149.731995	6090.882812
2	61	62	        250.294998	3963.323486
4	53	54	        234.972000	3677.033936
3	57	58	        162.776993	5701.051270
2	62	63	        275.031006	3665.041504
4	54	55	        270.777008	3249.906494
3	58	59	        256.572998	3679.264893
4	55	56	        295.778992	3029.288818
2	63	64	        312.437012	3277.460693
3	59	60	        296.016998	3243.057129
4	56	57	        180.998993	5038.702148
3	60	61	        188.345001	5181.979980
4	57	58	        169.852997	5463.547852
3	61	62	        177.266006	5596.109863
4	58	59	        158.807007	5944.321777
3	62	63	        166.188995	6065.383301
4	59	60	        147.830002	6493.945801
3	63	64	        155.182999	6598.660645
4	60	61	        111.997002	8714.519531
4	61	62	        113.875000	8711.305664
4	62	63	        115.681999	8713.541992
4	63	64	        117.499001	8714.967773
