There are 1 devices!
The device 'mlx4_0' max mr size is 18446744073709551615 bytes.
The device 'mlx4_0' max_qp_wr is 16351.
The device 'mlx4_0' phys_port_cnt is 2.
The device 'mlx4_0' active_speed is 10.0 Gbps.
The device 'mlx4_0' max_mtu is IBV_MTU_4096.
The device 'mlx4_0' active_mtu is IBV_MTU_1024.
The device 'mlx4_0' link_layer is IBV_LINK_LAYER_ETHERNET.
Thread:	Id:	Size(MByte):	Time(ms):	Speed(Mbits/s):
3	20	21	        143.227005	2345.926270
4	4	5	        24.230000	3301.692139
4	5	6	        33.685001	2849.933105
1	40	41	        239.886993	2734.620850
2	30	31	        222.725006	2226.961426
4	6	7	        29.601000	3783.656006
3	21	22	        94.987999	3705.731445
0	47	48	        268.088989	2864.720215
4	7	8	        34.330002	3728.517090
4	8	9	        49.713001	2896.626709
4	9	10	        74.838997	2137.922852
3	22	23	        186.360001	1974.672607
4	10	11	        56.058998	3139.549561
2	31	32	        228.501999	2240.680664
1	41	42	        278.588013	2412.164062
4	11	12	        69.047997	2780.674561
3	23	24	        106.250999	3614.083496
0	48	49	        285.739990	2743.753174
2	32	33	        121.780998	4335.651855
4	12	13	        56.483002	3682.523926
1	42	43	        113.870003	6041.977539
3	24	25	        99.125000	4035.309082
4	13	14	        69.528999	3221.677490
4	14	15	        122.108002	1965.473145
2	33	34	        251.421997	2163.693115
3	25	26	        202.074997	2058.641602
4	15	16	        79.885002	3204.606689
0	49	50	        333.966003	2395.453369
1	43	44	        267.894012	2627.905029
4	16	17	        96.236000	2826.385254
2	34	35	        143.311005	3907.585449
3	26	27	        134.056000	3222.533936
4	17	18	        87.503998	3291.278076
5	0	1	        7.543000	2121.171875
5	1	2	        14.176000	2257.336426
5	2	3	        19.393999	2474.992432
5	3	4	        25.812000	2479.466797
1	44	45	        268.035004	2686.216309
5	4	5	        29.363001	2724.517090
4	18	19	        143.535995	2117.935547
3	27	28	        219.216003	2043.646362
5	5	6	        33.596001	2857.482910
0	50	51	        325.013000	2510.668701
2	35	36	        238.690002	2413.171875
5	6	7	        40.103001	2792.808594
4	19	20	        105.629997	3029.442627
5	7	8	        51.551998	2482.929932
1	45	46	        163.153000	4511.103516
5	8	9	        58.577000	2458.302734
3	28	29	        154.005005	3012.889160
5	9	10	        75.460999	2120.300537
4	20	21	        147.621002	2276.098877
2	36	37	        229.554001	2578.913818
5	10	11	        77.018997	2285.150391
3	29	30	        209.347000	2292.843994
0	51	52	        356.143005	2336.140381
5	11	12	        78.077003	2459.110840
4	21	22	        154.462997	2278.863037
1	46	47	        310.832001	2419.313477
2	37	38	        186.466003	3260.647949
5	12	13	        59.334000	3505.578613
3	30	31	        136.511002	3633.406982
4	22	23	        134.988007	2726.167969
5	13	14	        87.403000	2562.841064
0	52	53	        285.859985	2966.487305
5	14	15	        123.450996	1944.091309
4	23	24	        212.690002	1805.444580
5	15	16	        106.927002	2394.156738
3	31	32	        277.375000	1845.876465
2	38	39	        347.027008	1798.130981
1	47	48	        409.829987	1873.947876
5	16	17	        79.611000	3416.613037
4	24	25	        114.827003	3483.500977
6	0	1	        8.853000	1807.296997
6	1	2	        14.794000	2163.039062
6	2	3	        23.778000	2018.672852
0	53	54	        258.970001	3336.293945
6	3	4	        28.745001	2226.474121
3	32	33	        160.011002	3299.772949
5	17	18	        118.755997	2425.140625
6	4	5	        32.570999	2456.172852
2	39	40	        201.983994	3168.567871
4	25	26	        134.246002	3098.788574
6	5	6	        42.098000	2280.393311
1	48	49	        206.110001	3803.794189
6	6	7	        45.659000	2452.966553
5	18	19	        114.471001	2655.694336
6	7	8	        57.806000	2214.302979
3	33	34	        205.796005	2643.394287
4	26	27	        188.356995	2293.517090
6	8	9	        69.939003	2058.937012
5	19	20	        154.746002	2067.904785
6	9	10	        68.752998	2327.171387
0	54	55	        397.651001	2212.995850
2	40	41	        331.632996	1978.090210
6	10	11	        95.721001	1838.677002
5	20	21	        159.645996	2104.656738
4	27	28	        230.440994	1944.098633
6	11	12	        77.839996	2466.598389
3	34	35	        285.135986	1963.975220
1	49	50	        416.170990	1922.286865
6	12	13	        100.886002	2061.732910
5	21	22	        155.494003	2263.752930
2	41	42	        241.050995	2787.791992
6	13	14	        91.393997	2450.926758
4	28	29	        217.787994	2130.512207
0	55	56	        345.265991	2595.100586
3	35	36	        257.880005	2233.596924
5	22	23	        168.561996	2183.173096
6	14	15	        99.385002	2414.851318
4	29	30	        150.016006	3199.658447
1	50	51	        323.613007	2521.530273
2	42	43	        230.744995	2981.646484
6	15	16	        106.316002	2407.916016
7	0	1	        8.971000	1783.524658
7	1	2	        16.635000	1923.654907
5	23	24	        159.022003	2414.760254
7	2	3	        23.121000	2076.034668
3	36	37	        218.276993	2712.150146
7	3	4	        32.551998	1966.085205
0	56	57	        284.229004	3208.680176
6	16	17	        123.800003	2197.092041
7	4	5	        34.775002	2300.503174
4	30	31	        184.690994	2685.566650
7	5	6	        55.624001	1725.873657
2	43	44	        232.121002	3032.900879
5	24	25	        178.957993	2235.161377
7	6	7	        57.223999	1957.220825
6	17	18	        138.891998	2073.553711
1	51	52	        314.907990	2642.041504
7	7	8	        62.969002	2032.746338
3	37	38	        246.307999	2468.454102
4	31	32	        212.889008	2405.009277
7	8	9	        64.484001	2233.112061
6	18	19	        154.628006	1966.008667
5	25	26	        196.328003	2118.903076
7	9	10	        70.181000	2279.819336
7	10	11	        95.900002	1835.245117
0	57	58	        467.707001	1984.148193
2	44	45	        390.515015	1843.718994
6	19	20	        217.153000	1473.615356
7	11	12	        98.648003	1946.314087
5	26	27	        263.153992	1641.624268
4	32	33	        341.540985	1545.934448
3	38	39	        390.056000	1599.770264
7	12	13	        92.351997	2252.252441
1	52	53	        498.372986	1701.536865
6	20	21	        148.776993	2258.413818
7	13	14	        104.607002	2141.348145
2	45	46	        278.774994	2640.121826
5	27	28	        228.578995	1959.935059
7	14	15	        130.619995	1837.391113
6	21	22	        193.020996	1823.635742
4	33	34	        292.024994	1862.854248
0	58	59	        403.279999	2340.805420
8	0	1	        9.980000	1603.206421
8	1	2	        18.524000	1727.488647
8	2	3	        29.705999	1615.835205
3	39	40	        356.295990	1796.259277
7	15	16	        124.711998	2052.729492
8	3	4	        34.966000	1830.349487
5	28	29	        207.653000	2234.497070
8	4	5	        42.936001	1863.238281
6	22	23	        187.014008	1967.766968
8	5	6	        56.681999	1693.659424
2	46	47	        337.460999	2228.405762
1	53	54	        431.993988	2000.027832
7	16	17	        137.737000	1974.777954
4	34	35	        261.808014	2138.971924
8	6	7	        61.046001	1834.682007
8	7	8	        79.920998	1601.581543
6	23	24	        188.220001	2040.165771
5	29	30	        235.436005	2038.770508
3	40	41	        295.075012	2223.163574
7	17	18	        148.613007	1937.919189
0	59	60	        405.583008	2366.963135
8	8	9	        66.115997	2177.990234
4	35	36	        218.565002	2635.371582
8	9	10	        90.000999	1777.757935
2	47	48	        307.050995	2501.213135
7	18	19	        173.212997	1755.064697
6	24	25	        225.904999	1770.655762
8	10	11	        92.477997	1903.155396
1	54	55	        395.773987	2223.491211
5	30	31	        257.272003	1927.920654
3	41	42	        274.583008	2447.347412
8	11	12	        117.614998	1632.444824
7	19	20	        169.781998	1884.769897
4	36	37	        270.476013	2188.733887
6	25	26	        227.522995	1828.386597
8	12	13	        125.369003	1659.102417
0	60	61	        515.664978	1892.701660
7	20	21	        224.682007	1495.446899
5	31	32	        345.648987	1481.271606
8	13	14	        148.837006	1505.002075
9	0	1	        10.810000	1480.110840
9	1	2	        21.650999	1477.991821
2	48	49	        506.337006	1548.375977
9	2	3	        32.085999	1495.979614
6	26	27	        282.421997	1529.625854
9	3	4	        44.640999	1433.659668
8	14	15	        167.059006	1436.618164
9	4	5	        56.453999	1417.083008
7	21	22	        209.037994	1683.904419
3	42	43	        523.426025	1314.416992
4	37	38	        436.911011	1391.587646
9	5	6	        53.074001	1808.795166
9	6	7	        77.112999	1452.413940
1	55	56	        687.190979	1303.858887
8	15	16	        147.029007	1741.152954
5	32	33	        342.627014	1541.034302
6	27	28	        235.391006	1903.216309
9	7	8	        60.298000	2122.790039
7	22	23	        220.212997	1671.109375
9	8	9	        82.855003	1737.975952
8	16	17	        137.264008	1981.582764
2	49	50	        417.868988	1914.475586
0	61	62	        545.723022	1817.771973
4	38	39	        313.492004	1990.481445
3	43	44	        346.910004	2029.344849
9	9	10	        102.167999	1566.048096
6	28	29	        246.794998	1880.102905
5	33	34	        281.614014	1931.722046
7	23	24	        217.018005	1769.438354
8	17	18	        160.100006	1798.875610
9	10	11	        79.698997	2208.308838
1	56	57	        338.312012	2695.736572
9	11	12	        139.108994	1380.212646
8	18	19	        214.817001	1415.157959
4	39	40	        388.575012	1647.043579
9	12	13	        173.511993	1198.764404
2	50	51	        491.739014	1659.416870
7	24	25	        370.015015	1081.037231
8	19	20	        205.957001	1553.722412
6	29	30	        441.395996	1087.458862
9	13	14	        125.005997	1791.914185
5	34	35	        509.485992	1099.146973
3	44	45	        639.573975	1125.749390
9	14	15	        159.770004	1502.159424
7	25	26	        254.509995	1634.513428
8	20	21	        214.824997	1564.063721
4	40	41	        366.440002	1790.197632
0	62	63	        845.533997	1192.146118
1	57	58	        693.257019	1338.608887
6	30	31	        310.216003	1598.885864
9	15	16	        135.675995	1886.848145
2	51	52	        458.541992	1814.446655
5	35	36	        292.093994	1971.968018
8	21	22	        179.067993	1965.733643
7	26	27	        203.684006	2120.932373
3	45	46	        288.026001	2555.324707
9	16	17	        115.405998	2356.896484
4	41	42	        216.847000	3098.959229
6	31	32	        181.893005	2814.841553
0	63	64	        301.075989	3401.134766
8	22	23	        219.337006	1677.783447
9	17	18	        177.942001	1618.504883
7	27	28	        244.169006	1834.794678
5	36	37	        322.250000	1837.083008
1	58	59	        429.092010	2199.994385
6	32	33	        339.681000	1554.399536
9	18	19	        224.255997	1355.593628
8	23	24	        306.695007	1252.058228
7	28	29	        350.503998	1323.807983
4	42	43	        607.094971	1133.265869
9	19	20	        211.419998	1513.574829
2	52	53	        719.012024	1179.396118
3	46	47	        661.994019	1135.961914
5	37	38	        399.161011	1523.194824
8	24	25	        197.709000	2023.175537
6	33	34	        301.225006	1805.958984
7	29	30	        164.291000	2921.645264
9	20	21	        110.981003	3027.545166
1	59	60	        438.131012	2191.125488
4	43	44	        189.888000	3707.448486
8	25	26	        202.763000	2051.656250
9	21	22	        194.526993	1809.517456
5	38	39	        298.174011	2092.737549
6	34	35	        346.872986	1614.423828
7	30	31	        333.770996	1486.048828
9	22	23	        246.516998	1492.797607
3	47	48	        526.682007	1458.185303
8	26	27	        304.372986	1419.311157
2	53	54	        628.377014	1374.970703
9	23	24	        212.074005	1810.688599
4	44	45	        576.051025	1249.889282
7	31	32	        322.917999	1585.541870
6	35	36	        362.005005	1591.138306
5	39	40	        448.643005	1426.524048
8	27	28	        241.373001	1856.048462
1	60	61	        719.450012	1356.591797
3	48	49	        296.997009	2639.757324
2	54	55	        218.233002	4032.387207
9	24	25	        137.725998	2904.317383
7	32	33	        211.647003	2494.719971
8	28	29	        245.134003	1892.842285
6	36	37	        364.158997	1625.663574
4	45	46	        411.102997	1790.305542
9	25	26	        274.932007	1513.101440
5	40	41	        404.940002	1619.993042
7	33	34	        299.678009	1815.281738
8	29	30	        279.171997	1719.370117
3	49	50	        492.976990	1622.793823
9	26	27	        267.122009	1617.238525
2	55	56	        660.325012	1356.907593
6	37	38	        418.123993	1454.114136
1	61	62	        740.799988	1339.092896
8	30	31	        300.871002	1648.546997
7	34	35	        361.089996	1550.859863
5	41	42	        445.764008	1507.524170
9	27	28	        206.197998	2172.669189
4	46	47	        484.175995	1553.154297
3	50	51	        331.149994	2464.140137
2	56	57	        184.035004	4955.579102
6	38	39	        186.647995	3343.191406
9	28	29	        279.903992	1657.711304
8	31	32	        296.764008	1725.276611
7	35	36	        345.015015	1669.492554
5	42	43	        437.850006	1571.314331
1	62	63	        641.060974	1572.393433
4	47	48	        591.880981	1297.558228
6	39	40	        521.346985	1227.589355
9	29	30	        361.459991	1327.947754
8	32	33	        377.548004	1398.497681
7	36	37	        354.501007	1669.952881
3	51	52	        652.354004	1275.381104
5	43	44	        280.346008	2511.182617
2	57	58	        636.085022	1458.924438
1	63	64	        200.556000	5105.806152
9	30	31	        266.368988	1862.078613
4	48	49	        333.696991	2349.436768
8	33	34	        336.449005	1616.886963
6	40	41	        379.559998	1728.317017
7	37	38	        372.915009	1630.398315
5	44	45	        449.605011	1601.405640
9	31	32	        264.855988	1933.126099
3	52	53	        543.250977	1560.972778
2	58	59	        598.809021	1576.462646
8	34	35	        323.230011	1732.512451
7	38	39	        313.598999	1989.802368
6	41	42	        370.186005	1815.303711
4	49	50	        450.029999	1777.659302
9	32	33	        234.990997	2246.894531
5	45	46	        283.730011	2594.015381
3	53	54	        238.436005	3623.614014
8	35	36	        156.806000	3673.328613
2	59	60	        220.158997	4360.484863
7	39	40	        299.298004	2138.336914
9	33	34	        301.799988	1802.518311
6	42	43	        385.830994	1783.164185
8	36	37	        364.381989	1624.668579
4	50	51	        493.372986	1653.921143
5	46	47	        483.595001	1555.020142
9	34	35	        345.281006	1621.867432
